starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:45:59 2016	1463179559	25	3	28	1
Fri May 13 16:45:59 2016	1463179559	16	12	28	4
Fri May 13 16:45:59 2016	1463179559	16	12	28	4
Fri May 13 16:45:59 2016	1463179559	25	3	28	1
Fri May 13 16:45:59 2016	1463179559	25	3	28	2
Fri May 13 16:45:58 2016	1463179558	26	1	28	1
Fri May 13 16:45:59 2016	1463179559	17	11	28	5
Fri May 13 16:45:59 2016	1463179559	25	3	28	1
Fri May 13 16:45:59 2016	1463179559	27	2	28	1
Fri May 13 16:45:59 2016	1463179559	16	12	28	9
Fri May 13 16:45:59 2016	1463179559	16	12	28	9
Fri May 13 16:45:59 2016	1463179559	25	3	28	2
Fri May 13 16:45:59 2016	1463179559	25	3	28	2
Fri May 13 16:45:59 2016	1463179559	20	8	28	4
Fri May 13 16:45:58 2016	1463179558	27	2	28	2
Fri May 13 16:45:59 2016	1463179559	21	8	28	4
Fri May 13 16:45:59 2016	1463179559	21	7	28	4
Fri May 13 16:45:59 2016	1463179559	21	7	28	4
Fri May 13 16:45:59 2016	1463179559	21	8	28	4
Fri May 13 16:45:59 2016	1463179559	26	3	28	2
Fri May 13 16:45:59 2016	1463179559	27	2	28	2
Fri May 13 16:45:59 2016	1463179559	19	10	29	5
Fri May 13 16:45:59 2016	1463179559	27	1	29	1
Fri May 13 16:45:59 2016	1463179559	20	9	29	4
Fri May 13 16:45:59 2016	1463179559	20	9	29	4
Fri May 13 16:45:59 2016	1463179559	25	4	29	3
Fri May 13 16:45:59 2016	1463179559	19	10	29	5
Fri May 13 16:45:59 2016	1463179559	25	4	29	3
Fri May 13 16:45:59 2016	1463179559	28	2	29	2
Fri May 13 16:45:59 2016	1463179559	28	1	29	1
Fri May 13 16:45:58 2016	1463179558	28	2	30	2
Fri May 13 16:45:59 2016	1463179559	19	10	30	7
Fri May 13 16:45:59 2016	1463179559	19	10	30	6
Fri May 13 16:45:59 2016	1463179559	23	7	30	2
Fri May 13 16:45:59 2016	1463179559	19	11	30	5
Fri May 13 16:45:59 2016	1463179559	28	2	30	2
Fri May 13 16:45:59 2016	1463179559	19	11	30	5
Fri May 13 16:45:59 2016	1463179559	28	2	30	1
Fri May 13 16:45:58 2016	1463179558	28	1	30	1
Fri May 13 16:45:59 2016	1463179559	25	5	30	2
Fri May 13 16:45:59 2016	1463179559	24	6	30	2
Fri May 13 16:45:59 2016	1463179559	19	11	30	5
Fri May 13 16:45:59 2016	1463179559	29	2	30	1
Fri May 13 16:45:59 2016	1463179559	28	2	30	2
Fri May 13 16:45:59 2016	1463179559	29	2	30	2
Fri May 13 16:45:59 2016	1463179559	22	8	30	6
Fri May 13 16:45:59 2016	1463179559	23	7	30	4
Fri May 13 16:45:59 2016	1463179559	19	11	30	5
Fri May 13 16:45:59 2016	1463179559	18	12	30	7
Fri May 13 16:45:59 2016	1463179559	23	7	30	4
Fri May 13 16:45:59 2016	1463179559	23	7	30	4
Fri May 13 16:45:59 2016	1463179559	21	9	30	4
Fri May 13 16:45:59 2016	1463179559	23	7	30	4
Fri May 13 16:45:59 2016	1463179559	19	12	31	8
Fri May 13 16:45:59 2016	1463179559	18	12	31	8
Fri May 13 16:45:59 2016	1463179559	25	5	31	3
Fri May 13 16:45:59 2016	1463179559	25	5	31	3
Fri May 13 16:45:59 2016	1463179559	21	10	31	6
Fri May 13 16:45:59 2016	1463179559	29	1	31	1
Fri May 13 16:45:59 2016	1463179559	24	7	31	2
Fri May 13 16:45:59 2016	1463179559	23	8	31	4
Fri May 13 16:45:59 2016	1463179559	25	6	31	4
Fri May 13 16:45:59 2016	1463179559	24	7	31	2
Fri May 13 16:45:59 2016	1463179559	17	14	31	7
